Sub-branch INTERRUPTED (thread 40, pair1 1 orient1 1 pair2 29 orient2 1): 3300330726 nodes, 0 C3-valid, 0 solutions, 384s elapsed
Sub-branch INTERRUPTED (thread 17, pair1 1 orient1 1 pair2 17 orient2 0): 3300330744 nodes, 136695876 C3-valid, 0 solutions, 392s elapsed
Sub-branch INTERRUPTED (thread 49, pair1 2 orient1 1 pair2 11 orient2 1): 3300330715 nodes, 0 C3-valid, 0 solutions, 449s elapsed
Sub-branch INTERRUPTED (thread 45, pair1 2 orient1 1 pair2 8 orient2 1): 3300330670 nodes, 1965960 C3-valid, 0 solutions, 456s elapsed
Sub-branch INTERRUPTED (thread 39, pair1 2 orient1 1 pair2 4 orient2 1): 3300330752 nodes, 1359880 C3-valid, 0 solutions, 458s elapsed
Sub-branch INTERRUPTED (thread 48, pair1 2 orient1 1 pair2 10 orient2 1): 3300330703 nodes, 0 C3-valid, 0 solutions, 458s elapsed
Sub-branch INTERRUPTED (thread 44, pair1 2 orient1 1 pair2 8 orient2 0): 3300330715 nodes, 2389552 C3-valid, 0 solutions, 459s elapsed
Sub-branch INTERRUPTED (thread 35, pair1 2 orient1 1 pair2 1 orient2 1): 3300330759 nodes, 630032 C3-valid, 0 solutions, 461s elapsed
Sub-branch INTERRUPTED (thread 14, pair1 2 orient1 0 pair2 21 orient2 0): 3300330720 nodes, 2494092 C3-valid, 0 solutions, 461s elapsed
Sub-branch INTERRUPTED (thread 24, pair1 2 orient1 0 pair2 26 orient2 0): 3300330733 nodes, 359084 C3-valid, 0 solutions, 462s elapsed
Sub-branch INTERRUPTED (thread 50, pair1 2 orient1 1 pair2 12 orient2 0): 3300330700 nodes, 0 C3-valid, 0 solutions, 463s elapsed
Sub-branch INTERRUPTED (thread 43, pair1 2 orient1 1 pair2 7 orient2 0): 3300330715 nodes, 2389552 C3-valid, 0 solutions, 463s elapsed
Sub-branch INTERRUPTED (thread 15, pair1 2 orient1 0 pair2 21 orient2 1): 3300330666 nodes, 2624440 C3-valid, 0 solutions, 463s elapsed
Sub-branch INTERRUPTED (thread 59, pair1 2 orient1 1 pair2 16 orient2 1): 3300330735 nodes, 6199256 C3-valid, 0 solutions, 463s elapsed
Sub-branch INTERRUPTED (thread 25, pair1 2 orient1 0 pair2 26 orient2 1): 3300330733 nodes, 359084 C3-valid, 0 solutions, 464s elapsed
Sub-branch INTERRUPTED (thread 34, pair1 2 orient1 1 pair2 1 orient2 0): 3300330735 nodes, 762712 C3-valid, 0 solutions, 464s elapsed
Sub-branch INTERRUPTED (thread 33, pair1 2 orient1 0 pair2 31 orient2 1): 3300330633 nodes, 306872 C3-valid, 0 solutions, 464s elapsed
Sub-branch INTERRUPTED (thread 58, pair1 2 orient1 1 pair2 16 orient2 0): 3300330726 nodes, 5230440 C3-valid, 0 solutions, 466s elapsed
Sub-branch INTERRUPTED (thread 5, pair1 2 orient1 0 pair2 16 orient2 1): 3300330726 nodes, 5230440 C3-valid, 0 solutions, 466s elapsed
Sub-branch INTERRUPTED (thread 53, pair1 2 orient1 1 pair2 13 orient2 1): 3300330724 nodes, 8295704 C3-valid, 0 solutions, 467s elapsed
Sub-branch INTERRUPTED (thread 55, pair1 2 orient1 1 pair2 14 orient2 1): 3300330697 nodes, 6177464 C3-valid, 0 solutions, 468s elapsed
Sub-branch INTERRUPTED (thread 29, pair1 2 orient1 0 pair2 29 orient2 0): 3300330665 nodes, 0 C3-valid, 0 solutions, 468s elapsed
Sub-branch INTERRUPTED (thread 4, pair1 2 orient1 0 pair2 16 orient2 0): 3300330735 nodes, 6199256 C3-valid, 0 solutions, 469s elapsed
Sub-branch INTERRUPTED (thread 54, pair1 2 orient1 1 pair2 14 orient2 0): 3300330697 nodes, 6177464 C3-valid, 0 solutions, 473s elapsed
Sub-branch INTERRUPTED (thread 36, pair1 2 orient1 1 pair2 3 orient2 0): 3300330752 nodes, 1359880 C3-valid, 0 solutions, 473s elapsed
Sub-branch INTERRUPTED (thread 28, pair1 2 orient1 0 pair2 28 orient2 1): 3300330724 nodes, 0 C3-valid, 0 solutions, 473s elapsed
Sub-branch INTERRUPTED (thread 1, pair1 2 orient1 0 pair2 14 orient2 1): 3300330697 nodes, 6177464 C3-valid, 0 solutions, 473s elapsed
Sub-branch INTERRUPTED (thread 0, pair1 2 orient1 0 pair2 14 orient2 0): 3300330697 nodes, 6177464 C3-valid, 0 solutions, 474s elapsed
Sub-branch INTERRUPTED (thread 19, pair1 2 orient1 0 pair2 23 orient2 1): 3300330722 nodes, 6073256 C3-valid, 0 solutions, 474s elapsed
Sub-branch INTERRUPTED (thread 38, pair1 2 orient1 1 pair2 4 orient2 0): 3300330649 nodes, 1120480 C3-valid, 0 solutions, 474s elapsed
Sub-branch INTERRUPTED (thread 18, pair1 2 orient1 0 pair2 23 orient2 0): 3300330664 nodes, 6874480 C3-valid, 0 solutions, 475s elapsed
Sub-branch INTERRUPTED (thread 7, pair1 2 orient1 0 pair2 17 orient2 1): 3300330739 nodes, 0 C3-valid, 0 solutions, 476s elapsed
